name,website,praesidia,category,lat,lon,city
The Filth Archive,http://www.filtharchive.com/,,music_and_dvd_store,"59,3158394","18,0596313",Stockholm
The International Ballet School,http://www.internationalballet.se/,,dance_school,"59,3157896","18,0316914",Stockholm
The Lux AW Club,https://www.theluxaw.club/,,dance_club,"59,32989","18,07718",Stockholm
The Rabbit Hole,https://www.rabbitholeproduktion.se/om-oss,,dance_club,"59,3364762","18,0733298",Stockholm
The Royal Armoury,http://livrustkammaren.se/en,,history_museum,"59,326559","18,073008",Stockholm
The Viking Museum,http://www.thevikingmuseum.com/,,museum,"59,3265677","18,0947433",Stockholm
The Wall,https://www.stureplansgruppen.se/nightlife/the-wall/,,dance_club,"59,3364836","18,0734677",Stockholm
Thielska Galleriet,http://www.thielskagalleriet.se/,,art_museum,"59,322355","18,148635",Stockholm
Thomas Eriksson Arkitektur & Design,http://tea.se/,,architectural_designer,"59,3456121","18,0373445",Stockholm
Tillsammans,http://www.tillsammans.com/,,architectural_designer,"59,3304036","18,0299506",Stockholm
TioTretton,http://kulturhusetstadsteatern.se/tiotretton,,library,"59,3326318","18,0646055",Stockholm
Tjalans,http://tjalans.se/,,dance_club,"59,3367741","18,0748067",Stockholm
Tolkiensällskapet Forodrim,http://www.forodrim.org/,,arts_and_entertainment,"59,332951","18,043066",Stockholm
Total Arkitektur och Urbanism Tau,http://totalarkitektur.se/,,architectural_designer,"59,3264447","18,0215308",Stockholm
Tradition Arkitekter,http://www.traditionarkitekter.se/,,architectural_designer,"59,3423235","18,0686802",Stockholm
"Transit Kulturinkubator - tid, råd och rum för konstnärliga verksamheter",http://www.transitsthlm.se/,,community_services_non_profits,"59,2998085","17,9945393",Stockholm
Tranströmerbiblioteket,https://biblioteket.stockholm.se/bibliotek/medborgarhusets-bibliotek,,library,"59,314573","18,0718",Stockholm
